N S BAAZAR
Phone No: 7002445877


Stock Summary Report
Dated: 09/11/2018 - 15/04/2027
Total Stock Value: 3528266679.44
Total Stock Quantity: 40230384.78569999 PCS


Name,Batch No.,Item Code,Purchase Price,Selling Price,Stock Quantity,Stock Value,Item Category Name,MRP,SALES PRICE WITH TAX
DOMS PEN 10/- F9 LINER,,"",7.5,10.0,10.0 PCS,75.0,"",10.0,""
DOMS X1 W/P 6/-,,"",3.95,5.0,60.0 PCS,237.0,"",6.0,""
DORI MOP 1 N,,8904132933903,135.0,149.0,16.0 PCS,2160.0,"",250.0,""
DOT & SKY 50+ 50 GM,,8906147700587,282.84,389.0,1.0 PCS,282.84,"",445.0,""
DOT&KEY 50* 80 GM,,8906147701485,378.18,499.0,6.0 PCS,2269.08,"",595.0,""
DOUBLE MINT 9/- 13 GM,,89007877,8.75,9.0,0.0 PCS,0.0,"",9.0,""
DOVE BEAUTY BAR 100 GM,,8901030795589,50.79,60.0,20.0 PCS,1015.8,"",60.0,""
DOVE BEAUTY BAR 50 GM,,8901030712999,21.64,23.0,129.0 PCS,2931.14,"",25.0,""
DOVE CREAM BAR 3*75GM,,8901030838552,125.22,145.0,0.0 PCS,0.0,"",160.0,""
DOVE CREAM BAR 75 GM,,8909106041868,19.91,39.0,5.0 PCS,99.55,"",40.0,""
DOVE DAILY SHINE 75 ML,,8909106019720,92.45,115.0,0.0 PCS,0.0,"",120.0,""
DOVE DAILY SHINE COND 175 ML,,8909106019683,197.62,269.0,7.0 PCS,1383.34,"",285.0,""
DOVE DAILY SHINE SHAMPOO 180 ML,,8909106035751,126.57,219.0,0.0 PCS,0.0,"",246.0,""
DOVE DANDRUFF CARE SHAMPOO 180 ML,,8909106035782,126.57,219.0,1.0 PCS,132.9,"",246.0,""
DOVE DRYNESS CARE 175 ML,,8909106023727,219.57,272.0,5.0 PCS,1097.85,"",285.0,""
DOVE DRYNESS CARE 180 ML,,8909106035775,126.57,219.0,0.0 PCS,0.0,"",246.0,""
DOVE DRYNESS CARE 75 ML,,8909106023710,92.45,105.0,12.0 PCS,1109.4,"",120.0,""
DOVE FRESH BAR 75 GM,,8901030838217,59.08,70.0,0.0 PCS,0.0,"",75.0,""
DOVE GENTLE BODY WASH 250 ML,,8901030873232,150.03,195.0,2.0 PCS,300.06,"",205.0,""
DOVE HAIR F.R SHAMOPOO 80 ML,,8901030996146,85.0,90.0,0.0 PCS,0.0,"",93.0,""
DOVE HAIR FALL RESCUE SHAMPOO 340 ML,,8901030996160,309.95,399.0,0.0 PCS,0.0,"",447.0,""
DOVE HAIRFALL RESCUE 175 ML,,8909106019706,197.62,272.0,15.0 PCS,2964.3,"",285.0,""
DOVE HAIRFALL RESCUE 75 ML,,8909106019713,83.2,109.0,12.0 PCS,998.4,"",120.0,""
DOVE HAIRFALL RESCUE 75 ML,,8909106036048,44.15,99.0,2.0 PCS,92.72,"",102.0,""
DOVE HAIRFALL RESCUE SHAMPOO 180 ML,,8909106035744,126.57,219.0,0.0 PCS,0.0,"",246.0,""
DOVE INTENSE REOAIR 175ML 175 ML,,8909106019690,197.62,269.0,2.0 PCS,395.24,"",285.0,""
DOVE INTENSE REPAIR 75 ML,,8909106019751,92.45,115.0,4.0 PCS,369.8,"",120.0,""
DOVE INTENSE REPAIR SHAMPOO 180 ML,,8909106035768,126.57,219.0,11.0 PCS,1461.88,"",246.0,""
DOVE INTENSE REPAIR SHAMPOO 75ML,,8909106036079,78.58,90.0,0.0 PCS,0.0,"",102.0,""
DOVE INTS REPAIR CONDITIONER 175 ML,,8901030996597,219.57,259.0,0.0 PCS,0.0,"",285.0,""
DOVE INTS REPAIR SHAMPOO 75 ML,,8909106036062,44.15,99.0,1.0 PCS,46.36,"",102.0,""
DOVE NOURISHING B.W 300 ML,,8909106045118,124.42,165.0,0.0 PCS,0.0,"",170.0,""
DOVE O.M.C DEODRANT ROLL ON 50 ML,,8901030820526,132.36,220.0,3.0 PCS,397.08,"",259.0,""
DOVE PEPTIDE BOND SHAMPOO 180 ML,,8909106037489,219.57,249.0,0.0 PCS,0.0,"",285.0,""
DOVE PINK SERUM BAR 100 GM,,8901030901591,59.08,70.0,0.0 PCS,0.0,"",75.0,""
DOVE REFRESHING B.W 250 ML,,8901030873225,157.94,199.0,1.0 PCS,157.94,"",205.0,""
DOVE SHAMPOO 1N,,8901030996375,1.5,1.0,0.0 PCS,0.0,"",2.0,""
DOVE SHINE 75ML,,8909106036055,44.15,99.0,5.0 PCS,231.79,"",102.0,""
DOZO DISHWASH GEL 250 ML,,8904132943681,38.0,43.0,-3.0 PCS,-114.0,"",45.0,""
DOZO LIQUID DISHWASH GEL 1 LTR,,8904132967748,140.0,160.0,12.0 PCS,1680.0,"",199.0,""
DOZO POWER WASH 145 GM,,8904132945463,7.2,10.0,53.0 PCS,381.6,"",10.0,""
DOZO POWER WASH 70 GM,,8904132943728,4.2,5.0,1061.0 PCS,4456.2,"",5.0,""
DR BLACK PHENOLA 5 LTR,,"",470.0,500.0,1.0 PCS,470.0,"",699.0,""
DR WHITE 5 LIT,,"",300.0,369.0,5.0 PCS,1500.0,"",750.0,""
DRAK SPOT TURMERIC FACEWASH 50 ML,,8901138006112,67.08,89.0,0.0 PCS,0.0,"",95.0,""
DRIED CRANBERRIES T.G 110 GM,,8850291100697,128.0,155.0,0.0 PCS,0.0,"",160.0,""
DRIED PEACH 15 GM,,6910022257426,7.5,10.0,206.0 PCS,1545.0,"",10.0,""
DRY GINGER 50G 50 GM,,8901786340507,38.0,45.0,38.0 PCS,1444.0,"",47.0,""
DRY PETHA 400 GM,,810086030262,130.0,150.0,0.0 PCS,0.0,"",220.0,""
DTES SPARKLING DRINKS 250 ML,,040962320433,80.0,100.0,6.0 PCS,480.0,"",130.0,""
DULAL PALM CANDY 1 KG,,"",120.0,130.0,0.0 PCS,0.0,"",140.0,""
DULAL PALM CANDY 100 GM,,"",25.0,30.0,0.0 PCS,0.0,"",31.0,""
DULALS PALM CANDY 200 GM,,"",42.0,45.0,-5.0 PCS,-210.0,"",48.0,""
DUREX EXTRA THIN STRAWBERRY 12 CONDOMS,,8901396601883,135.0,170.0,2.0 PCS,270.0,"",216.0,""
DUREX MUTUAL CLIMAX 10 N,,8901396705307,314.67,350.0,6.0 PCS,1888.02,"",478.0,""
DUSTPAN 1 N,,8904132933958,40.0,49.0,16.0 PCS,640.0,"",70.0,""
DV ELAICHI,,"",6.69,10.0,34.0 PCS,227.46,"",10.0,""
DV GARAM MASALA,,"",6.69,10.0,98.0 PCS,655.62,"",10.0,""
Dove Intense Repair Bio Protein Care Shampoo,,8909106035676,301.31,370.0,0.0 PCS,0.0,"",435.0,""
EASUM MOONG DAL & RICE 400 GM,,8906048500071,292.67,350.0,6.0 PCS,1756.02,"",380.0,""
EAT-FIT DIGESTIVE 100% ATTA 175 GM,,8901928231755,29.76,34.0,50.0 PCS,1562.4,"",35.0,""
ECO INCENSE 175GM,,8901751023565,85.71,99.0,0.0 PCS,0.0,"",110.0,""
ECO VALLEY GREEN TEA 42.5 GM,,8901808004066,130.0,150.0,6.0 PCS,780.0,"",220.0,""
ECO VALLEY OTS 400 GM,,8901808002147,75.0,85.0,1.0 PCS,75.0,"",90.0,""
ECOLINK BULB 14 W,,8710619963420,261.02,379.0,6.0 PCS,1566.12,"",749.0,""
ECOLINK BULB 9 W,,8710619961471,218.64,299.0,4.0 PCS,874.56,"",549.0,""
EFFECTS KASTURI,,8902264063727,7.33,9.0,99.0 PCS,725.67,"",10.0,""
EFFECTS TRISHTI 3 IN 1 AGARBATTI,,8902264067787,30.0,35.0,48.0 PCS,1440.0,"",40.0,""
ELAICHA 13GM,,No.1234551,40.0,50.0,-5.0 PCS,-200.0,"",70.0,""
ELAICHI 25GM,,No.1234556,70.0,99.0,-6.0 PCS,-420.0,"",130.0,""
ELAICHI LOOSE 1KG,,"",2700.0,4000.0,3501.885 PCS,9455089.5,UNILEAVER,5000.0,""
ELAICHI LOOSE 1KG,,"",2800.0,4000.0,3.189 PCS,8929.2,"",5000.0,""
ELOIS H. REMOVAL PAPAYA 25 GM,,8906108120010,30.0,39.0,5.0 PCS,150.0,"",60.0,""
ELOIS H. REMOVAL ROSE 25 GM,,8906108120034,30.0,39.0,9.0 PCS,270.0,"",60.0,""
ELOIS HAIR SERUM 45 ML,,8906108122533,80.0,99.0,0.0 PCS,0.0,"",160.0,""
ELOS PAD 280 MM,,8906108121345,26.67,30.0,0.0 PCS,0.0,"",35.0,""
EMAMI 7 OILS IN ONE HAIR OIL 500 ML,,"",212.68,280.0,1.0 PCS,212.68,"",334.0,""
EMAMI 7OILS IN ONE 100 ML,,"",55.77,65.0,3.0 PCS,167.31,"",67.0,""
EMAMI 7OILS IN ONE 100 ML,,"",55.03,72.0,0.0 PCS,0.0,"",75.0,""
EMAMI 7OILS IN ONE 200 ML,,8901248257374,107.39,120.0,0.0 PCS,0.0,"",129.0,""
EMAMI 7OILS IN ONE 300 ML,,8901248257411,153.39,170.0,0.0 PCS,0.0,"",190.0,""
EMAMI 7OILS IN ONE 500 ML,,"",288.91,369.0,0.0 PCS,0.0,"",375.0,""
EMIRATES PREMIUM DATES 800 GM,,6291100197163,195.0,250.0,1.0 PCS,195.0,"",300.0,""
ENERGY BAR 50 GM,,8906172784125,64.17,75.0,12.0 PCS,770.04,"",80.0,""
ENGAGE M1 PERFUME 120 ML,,8901725958008,126.41,199.0,0.0 PCS,0.0,"",230.0,""
ENGAGE M2 PERFUME 120 ML,,8901725958107,126.41,199.0,0.0 PCS,0.0,"",230.0,""
ENGAGE SPELL WOMEN 150 ML,,8901725951108,114.74,189.0,0.0 PCS,0.0,"",220.0,""
ENGINE MUSTARD BOTTLE 200 ML,,8906020930117,46.0,50.0,36.0 PCS,1656.0,"",59.0,""
ENGINE OIL 100 ML,,8906020930223,27.0,30.0,19.0 PCS,513.0,"",30.0,""
ENGINE OIL BOTTLE 50 GM,,8906020930230,17.0,20.0,17.0 PCS,289.0,"",20.0,""
ENGINE OIL JAR 5 LTR,,8906020930049,1020.0,1050.0,3.0 PCS,3060.0,"",1277.0,""
ENGINE PAUCH,,8906020930124,204.0,207.0,96.0 PCS,19584.0,GROCERY,230.0,""
ENGLISH CRACKER 150 GM,,8901928611502,29.76,34.0,6.0 PCS,178.56,"",35.0,""
ENGLISH TEA CAKE 140 GM,,8901063365520,60.77,68.0,2.0 PCS,121.54,"",70.0,""
ENSURE DIABETES CARE 375 GM,,8904145913770,659.41,750.0,1.0 PCS,659.41,"",925.0,""
ENSURE DIABETES CARE 375 GM,,8904145913800,797.34,880.0,1.0 PCS,797.34,"",920.0,""
ENSURE DIABETES CARE 950 GM,,8904145912087,1852.3,2000.0,3.0 PCS,5556.9,"",2120.0,""
ENSURE VANILLA 200 GM,,8904145911363,338.0,419.0,6.0 PCS,2129.4,"",440.0,""
ENSURE VANILLA 375 GM,,8904145911622,615.37,680.0,2.0 PCS,1230.74,"",710.0,""
ENSURE VANILLA FLAVOUR 375 GM,,8904145913749,511.36,560.0,3.0 PCS,1534.08,"",590.0,""
ENSURE VANILLA SUPPLEMENT 950 GM,,8904145912063,1310.61,1450.0,0.0 PCS,0.0,"",1685.0,""
ENVY DEODRANT 120 ML,,8904482801457,149.0,199.0,3.0 PCS,447.0,"",230.0,""
ENVY DEODRANT 120 ML,,8901450012563,129.66,169.0,0.0 PCS,0.0,"",220.0,""
ENVY DEODRANT 120 ML,,8901450002595,129.66,169.0,0.0 PCS,0.0,"",220.0,""
ENVY DEODRANT 120 ML,,8901450002410,129.66,169.0,2.0 PCS,259.32,"",220.0,""
ENVY DEODRANT 120 ML,,8904482800375,129.66,169.0,0.0 PCS,0.0,"",220.0,""
ENVY MEN PERFUME 60 ML,,8904482800092,205.75,259.0,1.0 PCS,205.75,"",349.0,""
ENVY NATURAL SPRAY 30 ML,,8901450000058,117.31,149.0,0.0 PCS,0.0,"",199.0,""
ENVY NATURAL SPRAY 30 ML,,8901450000201,117.32,149.0,0.0 PCS,0.0,"",199.0,""
ENVY WOMEN PERFUME 120 ML,,8901450007446,129.66,169.0,12.0 PCS,1555.92,"",220.0,""
ENVY WOMEN PERFUME 60 ML,,8904482800108,205.75,269.0,0.0 PCS,0.0,"",349.0,""
ENZO ALL IN ONE 1 KG,,8904132976832,85.0,94.85,13.0 PCS,1105.0,"",99.0,""
ENZO ALL IN ONE 5 KG,,8904132976849,400.0,449.0,3.0 PCS,1200.0,"",600.0,""
ENZO ALLIN ONE 90GM 90 GM,,8904132968097,6.5,10.0,133.0 PCS,864.5,"",10.0,""
EV SHAHI PANNER 12 GM,,8901786530120,8.0,10.0,5.0 PCS,40.0,"",10.0,""
EVEREADY 1050 BATTERY 1 PC,,8901691008837,24.58,40.0,30.0 PCS,737.4,"",45.0,""
EVEREADY 950 BATTERY 1 PC,,8901691009438,19.49,30.0,35.0 PCS,682.15,"",35.0,""
EVEREADY BATTERY AA1015 1 PC,,8901691000633,9.14,15.0,1.0 PCS,9.14,"",18.0,""
EVEREADY BATTERY AA915 1 PC,,8901691000640,6.51,12.0,67.0 PCS,436.17,"",14.0,""
EVEREADY LED BULB 9W 9 WT,,8901691023953,37.88,69.0,36.0 PCS,1363.68,"",140.0,""
EVEREST BUTTER CHICKEN 50GM,,8901786890507,35.71,42.0,2.0 PCS,71.42,"",45.0,""
EVEREST BUTTER CHICKEN MIX 25 GM,,8901786890255,19.75,25.0,31.0 PCS,612.25,"",25.0,""
EVEREST CHAAT MASALA 10 GM,,8901786060122,8.0,10.0,15.0 PCS,120.0,"",10.0,""
EVEREST CHICKEN CURRY MIX 25 GM,,8901786900404,19.75,25.0,29.0 PCS,572.75,"",25.0,""
EVEREST CHICKEN MASALA 1 N,,"",4.0,5.0,35.0 PCS,140.0,"",5.0,""
EVEREST CHICKEN MASALA 10 GM,,https://uqr.to/vj6i,8.0,10.0,-1.0 PCS,-8.0,"",10.0,""
EVEREST CHICKEN MASALA 10 GM,,"",8.0,10.0,0.0 PCS,0.0,"",10.0,""
EVEREST CHILI POWDER 15 GM,,8901786390151,8.0,10.0,26.0 PCS,208.0,"",10.0,""
EVEREST CHILLI POWDER 200GM,,8901786392001,93.71,109.0,0.0 PCS,0.0,"",118.0,""
EVEREST CORIANDER POWDER 20,,8901786430208,8.0,10.0,19.0 PCS,152.0,"",10.0,""
EVEREST DESI MEAT MASALA 7 GM,,"",4.0,5.0,33.0 PCS,132.0,"",5.0,""
EVEREST GARAM MASALA 10 GM,,https://uqr.to/vj6m,8.0,10.0,-11.0 PCS,-88.0,"",10.0,""
EVEREST GARAM MASALA 10 GM,,"",8.0,10.0,0.0 PCS,0.0,"",10.0,""
EVEREST GARAM MASALA 7 GM,,"",4.0,5.0,48.0 PCS,192.0,"",5.0,""
EVEREST HALDI POWDER 20 GM,,8901786420209,8.0,10.0,23.0 PCS,184.0,"",10.0,""
EVEREST HINGRAJ 100 GM,,8901786551002,209.52,230.0,9.0 PCS,1885.68,"",275.0,""
EVEREST HINGRAJ 10GM,,"",25.25,32.0,9.0 PCS,227.25,"",33.0,""
EVEREST HINGRAJ 25 GM,,8901786550258,56.38,65.0,-2.0 PCS,-112.76,"",74.0,""
EVEREST HINGRAJ 50 GM,,8901786550500,108.95,120.0,1.0 PCS,108.95,"",143.0,""
EVEREST JEERA POWDER 10 GM,,"",8.0,10.0,24.0 PCS,192.0,"",10.0,""
EVEREST KASURI METHI 10 GM,,8901786280100,8.0,10.0,4.0 PCS,32.0,"",10.0,""
EVEREST KITCHEN KING 50GM,,8901786120505,37.62,45.0,0.0 PCS,0.0,"",47.0,""
EVEREST MEAT MASALA 10 GM,,https://uqr.to/vj6q,8.0,10.0,118.0 PCS,944.0,"",10.0,""
EVEREST MEAT MASALA 10 GM,,"",8.0,10.0,0.0 PCS,0.0,"",10.0,""
EVEREST MUTTER PANEER 50GM,,8901786920501,35.71,43.0,0.0 PCS,0.0,"",45.0,""
EVEREST MUTTON CURRY MIX 25 GM,,8901786910403,19.75,25.0,35.0 PCS,691.25,"",25.0,""
EVEREST PALAK PANEER 45GM,,8901786950454,35.71,43.0,2.0 PCS,71.42,"",45.0,""
EVEREST PANEER BUTTER MAS M 25 GM,,8901786860258,19.75,25.0,28.0 PCS,553.0,"",25.0,""
EVEREST PANEER BUTTER MASALA 50GM,,8901786860500,35.71,43.0,0.0 PCS,0.0,"",45.0,""
EVEREST PANEER TIKKA 50GM,,8901786880508,35.71,43.0,1.0 PCS,35.71,"",45.0,""
EVEREST PANEER TIKKA MAS MIX 25 GM,,8901786880256,19.75,25.0,26.0 PCS,513.5,"",25.0,""
EVEREST RAJMA MASALA 50 GM,,8901786540501,35.5,38.0,12.0 PCS,426.0,"",43.0,""
EVEREST ROYAL GARAM MASALA 50 GM,,8901786470501,43.5,49.0,4.0 PCS,174.0,"",54.0,""
EVEREST S GARAM MASALA 25 GM,,8901786500253,47.24,55.0,0.0 PCS,0.0,"",59.0,""
EVEREST SABJI MASALA 10 GM,,"",8.0,10.0,20.0 PCS,160.0,"",10.0,""
EVEREST SAMBHAR MASALA 50 GM,,8901786080502,33.75,39.0,6.0 PCS,202.5,"",42.0,""
EVEREST SHAHI BNIRIANI MASALA 10 GM,,https://uqr.to/vj70,8.0,10.0,10.0 PCS,80.0,"",10.0,""
EVEREST SHAHI PANEER MASALA 50 GM,,8901786530502,41.75,48.0,9.0 PCS,375.75,"",51.0,""
EVEREST SHAHIGARAM MASALA 5 GM,,"",8.0,10.0,14.0 PCS,112.0,"",10.0,""
EVEREST TURMERIC 200GM,,8901786422005,80.95,95.0,8.0 PCS,647.6,"",102.0,""
EVEREST VEGETABLE KADAI MIX 23 GM,,8901786870233,19.75,25.0,33.0 PCS,651.75,"",25.0,""
EVEREST WHITE PEPPER 50 GM,,8901786330508,102.0,118.0,22.0 PCS,2244.0,"",127.0,""
EVERYDAY D.W 100 GM,,8901058019834,60.85,66.0,60.0 PCS,3651.0,"",69.0,""
EVERYDAY D.W 15 GM,,8901058021288,8.82,10.0,147.0 PCS,1296.54,"",10.0,""
EVERYDAY D.W 1KG,,8901058019957,551.15,580.0,26.0 PCS,15046.4,"",625.0,""
EVERYDAY D.W 220 GM,,8901058021219,113.76,120.0,136.0 PCS,16244.93,"",129.0,""
EVERYDAY D.W 440 GM,,[M]8901058019902,224.88,244.0,0.0 PCS,0.0,"",255.0,""
EVERYDAY D.W 440 GM,,8901058019902,224.87,240.0,50.0 PCS,11805.68,"",255.0,""
EVERYDAY SHAHI GHEE 1 LTR,,8901058117226,555.56,580.0,0.0 PCS,0.0,"",630.0,""
EXAL LASEN/ U-CORN PEN,,"",3.6,5.0,795.0 PCS,2862.0,"",7.0,""
EXO 2 IN 1 SCRUB 12 GM,,8902102164623,13.98,25.0,0.0 PCS,0.0,"",30.0,""
EXO BAR 70 GM,,8902102163923,3.28,5.0,590.0 PCS,1935.2,"",5.0,""
EXO DISH BAR 90 GM,,8902102163930,6.61,10.0,270.0 PCS,1784.7,"",10.0,""
EXO ROUND 200 GM,,8902102164692,13.56,19.0,53.0 PCS,718.68,"",20.0,""
EXO ROUND 325 GM,,8902102164708,24.58,34.0,32.0 PCS,786.56,"",35.0,""
EXO ROUND 500 GM,,8902102163633,45.34,58.0,43.0 PCS,1949.62,"",60.0,""
EXO SAFAI STEEL 12 GM,,8902102164173,6.78,10.0,-8.0 PCS,-54.24,"",15.0,""
FAB BOURBON 150G 150 GM,,"",36.0,39.0,0.0 PCS,0.0,"",40.0,""
FAB BOURBON 54 GM,,8901719136450,7.65,10.0,183.0 PCS,1469.95,"",10.0,""
FAB JAM IN MIXED FRUIT JAM 120 GM,,8901719136696,26.49,31.15,0.0 PCS,0.0,"",35.0,""
FAB JAM-IN MIXED FRUIT 50 GM,,8901719136665,7.57,10.0,16.0 PCS,127.18,"",8.9,""
FAB JAM-IN STRAWBERRY 50 GM,,8901719136672,7.57,10.0,0.0 PCS,0.0,"",10.0,""
FALCON BRAND 100 GM,,8906060152906,35.0,50.0,16.0 PCS,560.0,"",55.0,""
FALCON BRAND 100 GM,,8906060154061,35.0,50.0,5.0 PCS,175.0,"",55.0,""
FALCON BRAND 100 GM,,8906060153897,35.0,50.0,3.0 PCS,105.0,"",55.0,""
FALCON DHUPKATI 100 GM,,"",33.33,40.0,20.0 PCS,666.6,"",50.0,""
FALCON INSENSESTICK 100 GM,,8906060155563,35.0,50.0,4.0 PCS,140.0,"",55.0,""
FANTA 2.25 LTR,,8901764022906,91.11,97.0,4.0 PCS,364.44,"",100.0,""
FANTA 250 ML,,8901764022913,17.5,19.0,4.0 PCS,70.0,"",20.0,""
FANTASTIK 9.5,,8909081002199,4.5,5.0,14.0 PCS,63.0,"",5.0,""
FARD DATE CROWN 500 GM,,6291100213146,185.0,200.0,2.0 PCS,370.0,"",315.0,""
FARD DATE CROWN 500 GM,,6291108230541,170.0,190.0,0.0 PCS,0.0,"",257.0,""
FARD DATES 250 GM,,6291100213467,94.0,109.0,0.0 PCS,0.0,"",162.0,""
FARD DATES 500 GM,,8906021910446,155.0,180.0,0.0 PCS,0.0,"",342.0,""
FARM B SOOJI 500 GM,,8904365700914,45.83,50.0,12.0 PCS,549.96,"",55.0,""
FARMLITE VEDA DIGESTIVE 250 GM,,8901725004606,52.0,60.0,1.0 PCS,52.0,"",65.0,""
FARNLITE DIGESTIVE 250 GM,,8901725016531,51.0,58.0,0.0 PCS,0.0,"",58.0,""
FARRM B JAGGERY 500 GM,,8904365700426,85.0,95.0,3.0 PCS,255.0,"",110.0,""
FARRM B JAGGERY POWDER 500 GM,,8904365701188,100.0,110.0,3.0 PCS,300.0,"",130.0,""
FARRMB ALMOND PISTA COOKIES 200 GM,,8904365700587,66.67,70.0,-1.0 PCS,-66.67,"",80.0,""
FARRMB SOOJI 1N,,8904365700921,8.0,10.0,20.0 PCS,160.0,"",10.0,""
FAST X ENERGY DRINK 250 ML,,8906175500166,40.0,50.0,10.0 PCS,400.0,"",50.0,""
FATAFATI BHEL 150 GM,,8904063257932,30.73,38.0,0.0 PCS,0.0,"",40.0,""
FENA DETERGENT POWDER 4KG,,8901190106423,376.0,399.0,0.0 PCS,0.0,"",420.0,""
FENA IMPACT WASH 4 KG,,8901190109455,431.36,529.0,0.0 PCS,0.0,"",560.0,""
FENA PAWDAR 400 GM,,8901190107284,34.0,39.0,0.0 PCS,0.0,"",40.0,""
FENA ULTRAWASH 2KG,,8901190106447,199.15,229.0,0.0 PCS,0.0,"",260.0,""
FERRERO ROCHER 100 GM,,8000500313183,310.0,330.0,0.0 PCS,0.0,"",349.0,""
FIAMA GEL BAR B&B 75 GM,,8905110001720,35.83,39.0,0.0 PCS,0.0,"",40.0,""
FIAMA GEL BAR GOLD SANDAL 75 GM,,8905110007029,35.83,39.0,0.0 PCS,0.0,"",40.0,""
FIAMA GEL BAR PEACH&AVOC 75 GM,,8905110001737,35.83,39.0,1.0 PCS,35.83,"",40.0,""
FIAMA GEL BAR SET 375 GM,,"",175.0,185.0,0.0 PCS,0.0,"",195.0,""
FIAMA LEMONGRASS 250 ML,,"",102.58,149.0,0.0 PCS,0.0,"",199.0,""
FIAMA PACK OF 3 375 GM,,"",157.6,190.0,11.0 PCS,1733.6,"",210.0,""
FIAMA SHOWER GEL 250 ML,,8901725928476,102.58,149.0,0.0 PCS,0.0,"",199.0,""
FIAMA SHOWER GEL 250 ML,,8901725928377,114.8,129.0,0.0 PCS,0.0,"",149.0,""
FIAMA SHOWER GEL LEMONGRASS 250 ML,,"",153.31,180.0,3.0 PCS,459.93,"",199.0,""
FIAMA SHOWER GEL P&A 250 ML,,8901725928070,114.8,140.0,1.0 PCS,114.8,"",149.0,""
FINGER PAPAD ROLL 1 KG,,"",55.0,80.0,3.735 PCS,205.43,"",100.0,""
FISH CURRY MASALA 15 GM,,8901786490127,8.0,10.0,23.0 PCS,184.0,"",10.0,""
FISH CURRY MASALA 50G 50 GM,,8901786490509,38.38,45.0,0.0 PCS,0.0,"",48.0,""
FISH FINGERS 400 GM,,8901963200709,460.0,490.0,1.0 PCS,460.0,"",549.0,""
FITOLITE MUSTARD OIL 1L,,8908024509016,165.0,175.0,1.0 PCS,165.0,"",200.0,""
FITOLITE MUSTARD OIL POUCH 1 LTR,,8908024509009,162.0,166.0,2.0 PCS,324.0,"",195.0,""
FITOLITE SOYA OIL BOTTLE 500 ML,,8908024509153,64.17,69.0,11.0 PCS,705.87,"",95.0,""
FITOLITE SOYABEAN OIL 200 200 ML,,8908024509160,30.0,35.0,34.0 PCS,1020.0,"",50.0,""
FITOLITE SOYABEAN OIL BOTTLE 1 LTR,,8908024509146,130.0,135.0,4.0 PCS,520.0,"",195.0,""
FITOLITE SOYABEAN POUCH 800 GM,,8908024509139,112.0,117.0,16.0 PCS,1792.0,"",167.0,""
FITOOLITE MUSTARD OIL BOTTLE 200 ML,,8908024509030,37.0,40.0,19.0 PCS,703.0,"",45.0,""
FIVESTAR SOFTER BAR 20.2 GM,,7622202818400,8.66,10.0,-7.0 PCS,-60.62,"",10.0,""
FLARA HAIR REMOVAL CREAM 25 GM,,8906035050572,25.42,40.0,34.0 PCS,864.28,"",60.0,""
FLICK 1N,,"",8.0,9.0,4.0 PCS,32.0,"",9.0,""
FLOOR CLEANER 1 LTR,,8904132919846,55.0,55.0,119.0 PCS,6545.0,"",65.0,""
FLOOR CLEANER FLORAL 500 ML,,617571142345,47.46,79.5,10.0 PCS,474.6,"",159.0,""
FLOOR CLEANER JASMINE 1 LTR,,8904132919853,55.0,75.0,13.0 PCS,715.0,"",89.0,""
FLOOR CLEANER LAVENDER 500 ML,,617571142321,47.46,79.5,16.0 PCS,759.36,"",159.0,""
FLOOR CLEANER LEMON 500 ML,,617571142338,47.46,79.5,0.0 PCS,0.0,"",159.0,""
FLOOR CLEANER PINE OIL 1 LTR,,8904132919822,55.0,75.0,1.0 PCS,55.0,"",89.0,""
FLOOR WIPER 1 N,,8904132933989,110.0,129.0,7.0 PCS,770.0,"",140.0,""
FLOROZONE H&B LOTION 100 ML,,8901247574366,56.25,65.0,17.0 PCS,956.25,"",75.0,""
FLOROZONE M LOTION 100 ML,,8901247574403,56.25,65.0,8.0 PCS,450.0,"",75.0,""
FLOROZONE MOISTURIZING LOTION 500 ML,,8901247574328,157.49,180.0,0.0 PCS,0.0,"",210.0,""
FOGG BLACK 120 ML,,ggsqr.in/,230.0,280.0,4.0 PCS,920.0,"",299.0,""
FOGG ESSENCE 120 ML,,8908001158343,150.0,180.0,7.0 PCS,1050.0,"",225.0,""
FOGG MAJESTIC 120 ML,,8908001158497,150.0,180.0,6.0 PCS,900.0,"",225.0,""
FOGG MARCO 120 ML,,8908001158305,150.0,180.0,11.0 PCS,1650.0,"",225.0,""
FOGG NAPOLEON 120 ML,,8908001158244,150.0,180.0,11.0 PCS,1650.0,"",225.0,""
FOGG NEU FRESH CITRUS 120,,8904238303075,205.0,230.0,0.0 PCS,0.0,"",249.0,""
FOGG NEU INTENSE COLOGNE 120 ML,,8904238303020,205.0,230.0,0.0 PCS,0.0,"",249.0,""
FOGG ROYAL 120 ML,,8908001158312,150.0,180.0,8.0 PCS,1200.0,"",225.0,""
FOOTBALL 1 N,,"",90.0,100.0,6.0 PCS,540.0,"",120.0,""
FOOTBALL BEANS 36G,,"",90.0,99.0,0.0 PCS,0.0,"",120.0,""
FORTUNE ALIFE SOAP 52 GM,,8906008819397,1.0,10.0,32.0 PCS,32.0,"",10.0,""
FORTUNE ATTA 1 KG,,8906007289139,49.0,52.0,55.0 PCS,2695.0,"",60.0,""
FORTUNE ATTA 4.5 KG,,8906008814408,228.57,250.0,8.0 PCS,1828.56,"",265.0,""
FORTUNE BESAN 200 GM,,8906007285001,24.0,29.0,-17.0 PCS,-408.0,"",35.0,""
